Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà,Hướng ban công
60 m²,Thỏa thuận,8 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Hoàng Cầu,"Ngõ 95, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",07/05/2024,6 m,9 m,5 tầng,Đầy đủ,,
74 m²,Thỏa thuận,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại phố Quảng Khánh,"Phố Quảng Khánh, Phường Quảng An, Tây Hồ, Hà Nội",07/05/2024,5 m,10 m,6 tầng,Đầy đủ,,
46 m²,10 tỷ,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Võ Thị Sáu,"88, Đường Võ Thị Sáu, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",07/05/2024,"3,6 m",6 m,5 tầng,Đầy đủ,,
56 m²,27 tỷ,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại phố Khâm Thiên,"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",07/05/2024,"4,3 m",25 m,7 tầng,Đầy đủ,,
59 m²,"2,39 tỷ",2 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu nhà ở Bắc Hà,"Dự án Bắc Hà Fodacon, Đường Nguyễn Trãi, Phường Mỗ Lao, Hà Đông, Hà Nội",07/05/2024,,,,,,
60 m²,9 tỷ,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà riêng tại đường Ngọc Hà,"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",07/05/2024,"3,7 m",5 m,5 tầng,Đầy đủ,,
60 m²,16 tỷ,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại phố Lương Định Của,"91, Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",07/05/2024,4 m,"17,5 m",4 tầng,Đầy đủ,,
40 m²,"7,44 tỷ",5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Vũ Tông Phan,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",07/05/2024,4 m,"3,5 m",5 tầng,Đầy đủ,,
40 m²,"7,44 tỷ",5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Vũ Tông Phan,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",07/05/2024,4 m,"3,5 m",5 tầng,Đầy đủ,,
54 m²,"12,5 tỷ",3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Hoàng Hoa Thám,"Đường Hoàng Hoa Thám, Phường Bưởi, Tây Hồ, Hà Nội",07/05/2024,"4,5 m",12 m,4 tầng,Đầy đủ,,
73 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại phường Trung Phụng,"Phường Trung Phụng, Đống Đa, Hà Nội",07/05/2024,"4,3 m",25 m,1 tầng,Cơ bản,,
120 m²,399 triệu/m²,,,,Hà Nội,Ba Đình,Nhà mặt phố tại đường Văn Cao,"Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội",07/05/2024,"4,2 m",42 m,,,Tây,
130 m²,60 tỷ,8 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại đường Võ Thị Sáu,"Đường Võ Thị Sáu, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",07/05/2024,7 m,25 m,8 tầng,Đầy đủ,,
56 m²,"9,9 tỷ",6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà riêng tại đường Ngọc Hà,"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",07/05/2024,"3,7 m",4 m,5 tầng,Đầy đủ,,
45 m²,Thỏa thuận,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Minh Khai,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",07/05/2024,4 m,9 m,5 tầng,Đầy đủ,,
43 m²,"6,5 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường Thanh Bình,"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",05/05/2024,,,4 tầng,,,
160 m²,"79,9 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại đường Trần Khát Chân,"Đường Trần Khát Chân, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",07/05/2024,8 m,80 m,5 tầng,Cơ bản,,
70 m²,Thỏa thuận,6 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Võ Chí Công,"Đường Võ Chí Công, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",07/05/2024,,8 m,7 tầng,,,
42 m²,"8,2 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Phố Trạm,"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",29/04/2024,5 m,4 m,6 tầng,Đầy đủ,Nam,Nam
120 m²,40 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà riêng tại phố Giảng Võ,"Ngõ 140, Phố Giảng Võ, Phường Giảng Võ, Ba Đình, Hà Nội",07/05/2024,11 m,12 m,3 tầng,Cơ bản,,
45 m²,Thỏa thuận,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà mặt phố tại phố Kim Mã,"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",07/05/2024,"5,5 m",60 m,4 tầng,Cơ bản,,
83 m²,Thỏa thuận,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà mặt phố tại đường Nguyễn Công Hoan,"Đường Nguyễn Công Hoan, Phường Ngọc Khánh, Ba Đình, Hà Nội",07/05/2024,"6,6 m",25 m,9 tầng,Đầy đủ,,
52 m²,11 tỷ,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Hào Nam,"Ngõ 168, Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",07/05/2024,4 m,8 m,6 tầng,Đầy đủ,,
38 m²,"4,4 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Đại Từ,"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",07/05/2024,4 m,2 m,5 tầng,,,
65 m²,"13,8 tỷ",4 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Cổ Linh,"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",07/05/2024,"5,4 m",,7 tầng,"Đầy đủ full nội thất cao cấp, thiết bị vệ sinh nhập khẩu, công tắc Panasonic.",,
103 m²,"37,9 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà mặt phố tại đường Đội Cấn,"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",07/05/2024,6 m,"17,5 m",5 tầng,Đầy đủ,,
100 m²,"4,2 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Khu đô thị mới Resco,"Dự án Resco Cổ Nhuế, Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ.,Nam,
29 m²,"6,9 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà riêng tại đường Ngọc Hà,"Đường Ngọc Hà, Phường Đội Cấn, Ba Đình, Hà Nội",07/05/2024,4 m,5 m,4 tầng,Đầy đủ,,
100 m²,"4,2 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Khu đô thị mới Resco,"Dự án Resco Cổ Nhuế, Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ.,Nam,
29 m²,"6,9 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà riêng tại đường Ngọc Hà,"Đường Ngọc Hà, Phường Đội Cấn, Ba Đình, Hà Nội",07/05/2024,4 m,5 m,4 tầng,Đầy đủ,,
250 m²,100 tỷ,8 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại đường Đại Cồ Việt,"Đường Đại Cồ Việt, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",07/05/2024,35 m,80 m,5 tầng,Cơ bản,,
150 m²,"10,8 tỷ",5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Lạc Long Quân,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",07/05/2024,7 m,3 m,1 tầng,Đầy đủ,,
130 m²,Thỏa thuận,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Tôn Đức Thắng,"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",07/05/2024,10 m,6 m,4 tầng,Đầy đủ,,
50 m²,15 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại phố Lương Định Của,"Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",07/05/2024,"3,8 m","17,5 m",4 tầng,Đầy đủ,,
"58,8 m²","8,5 tỷ",12 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Đống Đa,Nhà riêng tại phố Tôn Đức Thắng,"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",07/05/2024,"7,5 m",2 m,5 tầng,Đầy đủ,,
150 m²,"39,9 tỷ",5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Đại Cồ Việt,"Ngõ 27, Đường Đại Cồ Việt, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",07/05/2024,9 m,15 m,4 tầng,Cơ bản,,
40 m²,"7,8 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà riêng tại đường Đào Tấn,"Ngõ 12, Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",07/05/2024,"4,8 m",8 m,4 tầng,Đầy đủ,,
45 m²,"3,9 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tam Trinh,"Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",22/04/2024,"4,1 m",,4 tầng,Đầy đủ.,,
90 m²,"11,5 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",07/05/2024,,,5 tầng,Đầy đủ,,
55 m²,"4,99 tỷ",4 phòng,4 phòng,,Hà Nội,Hà Đông,Nhà riêng tại phố Xốm,"Phố Xốm, Phường Phú Lãm, Hà Đông, Hà Nội",30/04/2024,"4,3 m","3,5 m",4 tầng,,,
83 m²,22 tỷ,14 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Nguyễn Hoàng,"Đường Nguyễn Hoàng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",07/05/2024,"4,2 m",20 m,9 tầng,Đầy đủ,Tây - Nam,
55 m²,"14,8 tỷ",14 phòng,14 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại đường Láng,"Đường Láng, Phường Láng Hạ, Đống Đa, Hà Nội",07/05/2024,,,8 tầng,Đầy đủ,,
39 m²,"1,1 tỷ",1 phòng,1 phòng,Hợp đồng mua bán,Hà Nội,Thanh Trì,Căn hộ chung cư tại Chung cư Đại Thanh,"Dự án Chung cư Đại Thanh, Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",01/05/2024,,,,Đầy đủ,Đông - Nam,
26 m²,"3,55 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Minh Khai,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",05/05/2024,"4,7 m",,4 tầng,,,
100 m²,35 triệu/m²,3 phòng,2 phòng,Hợp đồng mua bán.,Hà Nội,Gia Lâm,Căn hộ chung cư tại The Pavilion - Vinhomes Ocean Park,"Dự án The Pavilion - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội",03/05/2024,,,,,Đông - Bắc,Tây - Nam
62 m²,"14,8 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà mặt phố tại đường An Dương,"Đường An Dương, Phường Tứ Liên, Tây Hồ, Hà Nội",07/05/2024,"4,2 m",6 m,5 tầng,Đầy đủ,,
100 m²,"19,8 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Văn Cừ,"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",02/05/2024,"6,5 m",,7 tầng,Đầy đủ,,
42 m²,"7,55 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",06/05/2024,"4,2 m",,4 tầng,Đầy đủ,,
100 m²,"19,8 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Văn Cừ,"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",02/05/2024,"6,5 m",,7 tầng,Đầy đủ,,
42 m²,"7,55 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",06/05/2024,"4,2 m",,4 tầng,Đầy đủ,,
182 m²,"19,2 tỷ",4 phòng,4 phòng,,Hà Nội,Long Biên,Nhà mặt phố tại đường Ngô Gia Tự,"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",27/04/2024,"4,5 m",,3 tầng,,,
80 m²,"9,6 tỷ",4 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Long Biên,Nhà riêng tại đường Chu Huy Mân,"Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội",02/05/2024,,,4 tầng,Đầy đủ.,,
35 m²,"1,55 tỷ",3 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Trì,Nhà riêng tại đường Liên Xã,"Đường Liên Xã, Xã Vạn Phúc, Thanh Trì, Hà Nội",07/05/2024,"3,6 m",3 m,1 tầng,,,
32 m²,"6,2 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại đường Yên Lãng,"Đường Yên Lãng, Phường Láng Hạ, Đống Đa, Hà Nội",06/05/2024,,,4 tầng,Đầy đủ,,Đông - Bắc
90 m²,"24,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Trần Duy Hưng,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",07/05/2024,"3,5 m",60 m,6 tầng,Đầy đủ,Tây - Bắc,
33 m²,"4,3 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Giáp Nhị,"Ngõ 88, Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",06/05/2024,4 m,,5 tầng,,,
85 m²,"10,8 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Long Biên,Nhà riêng tại đường Bát Khối,"Đường Bát Khối, Phường Long Biên, Long Biên, Hà Nội",28/04/2024,"4,65 m",,5 tầng,Đầy đủ.,,
42 m²,"4,7 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Thụy Phương,"Đường Thụy Phương, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",04/05/2024,"4,9 m",,5 tầng,,,
45 m²,"10,5 tỷ",5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường Văn Khê,"Đường Văn Khê, Phường La Khê, Hà Đông, Hà Nội",07/05/2024,6 m,,6 tầng,Đầy đủ,,
102 m²,"9,5 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồnga,Hà Nội,Long Biên,Nhà riêng tại đường Đức Giang,"Ngách 157/10, Ngõ 157, Đường Đức Giang, Phường Thượng Thanh, Long Biên, Hà Nội",26/04/2024,"6,8 m",,3 tầng,,,
81 m²,"33,6 tỷ",5 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Long Biên,Nhà mặt phố tại đường Lâm Hạ,"Đường Lâm Hạ, Phường Gia Thụy, Long Biên, Hà Nội",06/05/2024,6 m,8 m,4 tầng,,,
80 m²,"16,2 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Trần Quốc Vượng,"Đường Trần Quốc Vượng, Phường Mai Dịch, Cầu Giấy, Hà Nội",07/05/2024,"12,5 m",,6 tầng,Đầy đủ,,
90 m²,"12,4 tỷ",3 phòng,,Sổ đỏ/ Sổ hồng.,Hà Nội,Long Biên,Nhà riêng tại đường Ngọc Thụy,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",03/05/2024,"5,4 m",,4 tầng,Đầy đủ nội thất xịn xò.,,
"94,7 m²",58 triệu/m²,3 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Handico Complex,"Dự án Handico Complex, Quận Thanh Xuân, Hà Nội",03/05/2024,,,,Cơ bản,Tây - Bắc,Đông - Nam
45 m²,"6,3 tỷ",3 phòng,,Sổ đỏ/ Sổ hồng.,Hà Nội,Long Biên,Nhà riêng tại đường Ngọc Lâm,"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",03/05/2024,,,5 tầng,Đầy đủ full nội thất cao cấp.,Nam,
40 m²,"11,95 tỷ",4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",07/05/2024,"5,6 m",6 m,5 tầng,Đầy đủ,,
45 m²,"1,95 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Căn hộ chung cư tại phố Thái Thịnh,"Phố Thái Thịnh, Phường Ngã Tư Sở, Đống Đa, Hà Nội",07/05/2024,,,,,,
46 m²,"10,5 tỷ",3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà mặt phố tại đường Hoàng Công Chất,"Đường Hoàng Công Chất, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",07/05/2024,,,5 tầng,Đầy đủ,,
45 m²,"1,95 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Căn hộ chung cư tại phố Thái Thịnh,"Phố Thái Thịnh, Phường Ngã Tư Sở, Đống Đa, Hà Nội",07/05/2024,,,,,,
46 m²,"10,5 tỷ",3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà mặt phố tại đường Hoàng Công Chất,"Đường Hoàng Công Chất, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",07/05/2024,,,5 tầng,Đầy đủ,,
188 m²,"38,5 tỷ",7 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà mặt phố tại đường Phú Diễn,"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",07/05/2024,11 m,25 m,7 tầng,Đầy đủ,Tây - Bắc,
96 m²,"5,3 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Căn hộ chung cư tại Chung cư M3 - M4 Nguyễn Chí Thanh,"Dự án M3 - M4 Nguyễn Chí Thanh, Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội",07/05/2024,,,,,,
99 m²,"7,5 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại Khu đô thị Kiến Hưng,"Dự án Kiến Hưng, Hà Đông, Hà Nội",05/05/2024,"4,5 m",5 m,3 tầng,Cơ bản,Tây - Bắc,
39 m²,"10,2 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Lạc Long Quân,"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",07/05/2024,4 m,20 m,3 tầng,Cơ bản,,
42 m²,"2,5 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",04/05/2024,,,,Đầy đủ.,Tây,Đông - Bắc
50 m²,"9,9 tỷ",,,Sổ đỏ,Hà Nội,Tây Hồ,Nhà riêng tại đường Lạc Long Quân,"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",03/05/2024,5 m,,5 tầng,,,
81 m²,21 tỷ,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Lạc Long Quân,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",01/05/2024,5 m,6 m,4 tầng,Đầy đủ,,
50 m²,"11,5 tỷ",5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Văn Cừ,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",03/05/2024,,,7 tầng,Đầy đủ,,
45 m²,Thỏa thuận,,,Sổ đỏ.,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Hà,"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",07/05/2024,4 m,,4 tầng,Full nội thất,,
50 m²,"7,7 tỷ",4 phòng,,,Hà Nội,Đống Đa,Nhà riêng tại phố Xã Đàn,"Phố Xã Đàn, Phường Trung Phụng, Đống Đa, Hà Nội",02/05/2024,"5,9 m",3 m,6 tầng,,,
82 m²,Thỏa thuận,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phố Doãn Kế Thiện,"Phố Doãn Kế Thiện, Phường Mai Dịch, Cầu Giấy, Hà Nội",07/05/2024,6 m,10 m,8 tầng,Châu âu,,
140 m²,60 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà mặt phố tại phố Dịch Vọng Hậu,"Phố Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",07/05/2024,12 m,30 m,2 tầng,Không nội thất,Tây - Nam,
108 m²,21 tỷ,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà mặt phố tại phố Hoàng Sâm,"Phố Hoàng Sâm, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",07/05/2024,8 m,10 m,8 tầng,Đầy đủ,,
"58,8 m²","8,5 tỷ",10 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Hào Nam,"Ngõ 168, Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",04/05/2024,"7,5 m",,5 tầng,Xịn,,
105 m²,"68,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Ba Đình,Nhà mặt phố tại đường Đào Tấn,"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",06/05/2024,"6,1 m",,6 tầng,Đầy đủ.,,
50 m²,"6,5 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Trương Định,"Ngõ 176, Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",05/05/2024,"4,3 m",,4 tầng,Đầy đủ,,
100 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,Hà Nội,Quốc Oai,Nhà riêng tại đường Liên Xã,"Đường Liên Xã, Xã Đông Yên, Quốc Oai, Hà Nội",03/05/2024,,,,,,
60 m²,"15,9 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại phố Lương Định Của,"91, Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",04/05/2024,"3,6 m",,4 tầng,Đầy đủ,,
"58,8 m²","8,5 tỷ",10 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Hào Nam,"Ngõ 168, Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",04/05/2024,"7,5 m",,5 tầng,Xịn,,
105 m²,"68,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Ba Đình,Nhà mặt phố tại đường Đào Tấn,"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",06/05/2024,"6,1 m",,6 tầng,Đầy đủ.,,
50 m²,"6,5 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Trương Định,"Ngõ 176, Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",05/05/2024,"4,3 m",,4 tầng,Đầy đủ,,
100 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,Hà Nội,Quốc Oai,Nhà riêng tại đường Liên Xã,"Đường Liên Xã, Xã Đông Yên, Quốc Oai, Hà Nội",03/05/2024,,,,,,
