Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Số toilet,Hướng nhà,Hướng ban công
90 m²,24 tỷ,5 m,13 m,7 tầng,,,,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Văn Cừ,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",04/05/2024,,,
54 m²,"15,2 tỷ","4,2 m",,5 tầng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Ba Đình,Nhà riêng tại phố Láng Hạ,"Phố Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội",02/05/2024,,,
101 m²,"5,9 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Eurowindow Multi Complex,"Dự án Eurowindow Multi Complex, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",11/04/2024,2 phòng,,Đông - Nam
105 m²,Thỏa thuận,"7,4 m",,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại đường Ngọc Thụy,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",03/05/2024,2 phòng,,
45 m²,"5,6 tỷ",,3 m,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Văn Cừ,"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",02/05/2024,,,
45 m²,"7,8 tỷ","3,3 m",5 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đại Mỗ,"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",06/05/2024,4 phòng,,
120 m²,"13,45 tỷ",6 m,4 m,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Long Biên,Nhà riêng tại phố Hồng Tiến,"Phố Hồng Tiến, Phường Ngọc Thụy, Long Biên, Hà Nội",28/04/2024,,,
120 m²,"13,45 tỷ",6 m,4 m,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Long Biên,Nhà riêng tại phố Hồng Tiến,"Phố Hồng Tiến, Phường Ngọc Thụy, Long Biên, Hà Nội",28/04/2024,,,
66 m²,"2,65 tỷ",,,,2 phòng,,,Hà Nội,Thanh Trì,Căn hộ chung cư tại Tứ Hiệp Plaza,"Dự án Tứ Hiệp Plaza, Đường Ngọc Hồi, Xã Tứ Hiệp, Thanh Trì, Hà Nội",06/05/2024,2 phòng,,
65 m²,"14,75 tỷ",5 m,5 m,7 tầng,5 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Sơn,"Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội",03/05/2024,6 phòng,,
80 m²,"11,75 tỷ","5,5 m",5 m,5 tầng,,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại phố Hồng Tiến,"Phố Hồng Tiến, Phường Ngọc Thụy, Long Biên, Hà Nội",03/05/2024,5 phòng,,
"79,8 m²",Thỏa thuận,,,,3 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",22/04/2024,2 phòng,Tây - Nam,Đông - Bắc
70 m²,"6,3 tỷ","3,18 m",2 m,4 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Hà Nội,Nam Từ Liêm,Nhà riêng tại Khu đô thị Đại Mỗ - Hà Nội,"Dự án Khu đô thị Đại Mỗ - Hà Nội, Quận Nam Từ Liêm, Hà Nội",06/05/2024,6 phòng,,
50 m²,"6,5 tỷ","3,5 m",3 m,4 tầng,4 phòng,Sổ đỏ,Đầy đủ,Hà Nội,Hoàng Mai,Nhà riêng tại đường Định Công,"Ngõ 245, Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội",06/05/2024,3 phòng,,
94 m²,"3,95 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Long Biên,Căn hộ chung cư tại Le Grand Jardin Sài Đồng,"Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Đông - Nam
405 m²,190 tỷ,,,13 tầng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Nhà mặt phố tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",06/05/2024,,,
146 m²,36 tỷ,7 m,7 m,9 tầng,26 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Hà,"Phố Thái Hà, Phường Trung Phụng, Đống Đa, Hà Nội",06/05/2024,26 phòng,,
49 m²,"10,5 tỷ",4 m,5 m,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoàng Mai,Nhà riêng tại đường Kim Đồng,"Đường Kim Đồng, Phường Giáp Bát, Hoàng Mai, Hà Nội",06/05/2024,4 phòng,,
219 m²,47 tỷ,8 m,7 m,8 tầng,16 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại đường Núi Trúc,"Đường Núi Trúc, Phường Kim Mã, Ba Đình, Hà Nội",06/05/2024,16 phòng,,
130 m²,9 tỷ,,,,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Long Biên,Căn hộ chung cư tại Vinhomes Symphony Riverside,"Dự án Vinhomes Symphony Riverside, Đường Hội Xá, Phường Việt Hưng, Long Biên, Hà Nội",05/05/2024,3 phòng,Tây - Bắc,Đông - Nam
40 m²,"4,35 tỷ","4,5 m","2,5 m",3 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Đại Từ,"Ngõ 236, Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",06/05/2024,2 phòng,,
50 m²,"7,7 tỷ",5 m,"2,5 m",6 tầng,10 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại phố Khâm Thiên,"Phố Khâm Thiên, Phường Văn Chương, Đống Đa, Hà Nội.",06/05/2024,10 phòng,,
95 m²,75 triệu/m²,,,,2 phòng,Hợp đồng mua bán.,,Hà Nội,Đống Đa,Căn hộ chung cư tại Hateco Laroma,"Dự án Hateco Laroma, Đường Huỳnh Thúc Kháng, Phường Láng Thượng, Đống Đa, Hà Nội",04/05/2024,2 phòng,Tây - Bắc,Đông - Nam
300 m²,95 tỷ,9 m,9 m,10 tầng,50 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại đường Bưởi,"Đường Bưởi, Phường Vĩnh Phúc, Ba Đình, Hà Nội",06/05/2024,50 phòng,,
69 m²,"4,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Home City Trung Kính,"Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",12/04/2024,2 phòng,,
75 m²,"4,8 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Smart City,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",23/04/2024,2 phòng,,
38 m²,"3,75 tỷ","3,3 m",,3 tầng,,,,Hà Nội,Hoài Đức,Nhà riêng tại xã Vân Canh,"Xã Vân Canh, Hoài Đức, Hà Nội",06/05/2024,,,
28 m²,"1,45 tỷ",,,,1 phòng,"Đã có sổ, yên tâm pháp lý.","Nội thất nguyên bản CĐT, khách mua chỉ cần setup thêm nội thất.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,"Dự án Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",06/05/2024,1 phòng,,
63 m²,"17,5 tỷ",,,8 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Nhà mặt phố tại đường Thụy Khuê,"Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",06/05/2024,,,
1.000 m²,250 tỷ,30 m,,13 tầng,,,,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Duy Tân,"Đường Duy Tân, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,,,
170 m²,"17,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Căn hộ chung cư tại PentStudio,"Dự án PentStudio, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",06/05/2024,2 phòng,Tây - Nam,Đông - Nam
96 m²,31 tỷ,6 m,"17,5 m",6 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà mặt phố tại phố Việt Hưng,"Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội",01/05/2024,5 phòng,Đông - Nam,Đông - Nam
48 m²,"3,45 tỷ","4,1 m",2 m,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hoài Đức,Nhà riêng tại đường 442B,"Đường 442B, Xã Vân Canh, Hoài Đức, Hà Nội",06/05/2024,2 phòng,Tây - Nam,Tây - Nam
130 m²,"7,6 tỷ",,,,3 phòng,,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại The Golden Palm Lê Văn Lương,"The Golden Palm Lê Văn Lương, 21, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024,,,
103 m²,"5,5 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại N03-T1 Ngoại Giao Đoàn,"Dự án N03-T1 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",28/04/2024,2 phòng,,Nam
46 m²,"8,45 tỷ","4,5 m",,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Cung,"Phố Trần Cung, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",06/05/2024,4 phòng,,
120 m²,"8,6 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại The Park Home,"The Park Home, 1, Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội",03/05/2024,2 phòng,,
"38,5 m²",Thỏa thuận,4 m,4 m,1 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hoàng Mai,Nhà riêng tại đường Lĩnh Nam,"Ngõ 421, Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",30/04/2024,1 phòng,,
78 m²,"5,2 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Mỹ Đình Pearl,"Dự án Mỹ Đình Pearl, Phường Phú Đô, Nam Từ Liêm, Hà Nội",04/05/2024,2 phòng,,
40 m²,"6,2 tỷ",4 m,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại phường Kim Mã,"Phường Kim Mã, Ba Đình, Hà Nội",03/05/2024,3 phòng,,
32 m²,"6,2 tỷ",4 m,,5 tầng,3 phòng,Sổ đỏ,Cơ bản,Hà Nội,Ba Đình,Nhà riêng tại đường Đội Cấn,"Đường Đội Cấn, Phường Cống Vị, Ba Đình, Hà Nội",06/05/2024,4 phòng,,
300 m²,250 tỷ,20 m,,6 tầng,10 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Nguyễn Khánh Toàn,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",06/05/2024,10 phòng,,
121 m²,"6,66 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Diamond Flower Tower,"Dự án Diamond Flower Tower, Phố Hoàng Đạo Thúy, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,2 phòng,,Đông - Nam
83 m²,5 tỷ,,,,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại An Bình Plaza,"An Bình Plaza, 97, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",05/05/2024,2 phòng,Tây,Tây - Nam
62 m²,6 tỷ,"4,2 m",,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà mặt phố tại đường Y Sơn,"Đường Y Sơn, Phường Đồng Mai, Hà Đông, Hà Nội",06/05/2024,4 phòng,,
80 m²,Thỏa thuận,,,,2 phòng,,Nội Thất Cao Cấp,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Hinode City,"Dự án Hinode City, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",06/05/2024,2 phòng,Tây - Nam,Đông - Nam
82 m²,"4,6 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Emerald,"Dự án The Emerald CT8 Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",09/04/2024,2 phòng,,
115 m²,"5,7 tỷ",,,,3 phòng,Sổ lâu dài,,Hà Nội,Hà Đông,Căn hộ chung cư tại Grand Sunlake,"Dự án Grand Sunlake, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",03/05/2024,2 phòng,,Đông - Nam
82 m²,Thỏa thuận,,,,2 phòng,Hợp đồng mua bán,Full nội thất,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị Thanh Hà Mường Thanh,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
31 m²,"3,68 tỷ",5 m,2 m,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Long Biên,Nhà riêng tại đường Cổ Linh,"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",06/05/2024,4 phòng,,
68 m²,9 tỷ,,,5 tầng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Tây Hồ,Nhà riêng tại đường Trịnh Công Sơn,"Đường Trịnh Công Sơn, Phường Nhật Tân, Tây Hồ, Hà Nội",06/05/2024,,,
95 m²,60 triệu/m²,,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Eurowindow Multi Complex,"Dự án Eurowindow Multi Complex, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",11/04/2024,2 phòng,,
"62,6 m²",4 tỷ,,,,2 phòng,,- Nội thất full nhập khẩu.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",06/05/2024,2 phòng,,Đông - Bắc
74 m²,"3,4 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư Booyoung,"Dự án Booyoung, Phường Mỗ Lao, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
120 m²,"6,6 tỷ",,,,4 phòng,,"Nội thất bàn giao cao cấp. - Điều hòa âm trần Daikin + Hệ thống hút - đẩy gió tươi. - Hệ thống trần âm cách điệu phào Hàn và tường dán, thiết Kế theo phong cách tân cổ điển. - Hệ thống sàn, cửa chính.",Hà Nội,Long Biên,Căn hộ chung cư tại HC Golden City,"Dự án HC Golden City, Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",03/05/2024,3 phòng,Tây - Nam,Đông - Bắc
"92,26 m²",4 tỷ,,,,3 phòng,,"Nội thất bàn giao full liền tường cao cấp: Sàn gỗ công nghiệp, trần thạch cao, tủ bếp trên dưới, điều hòa,... Từ các thương hiệu Hafele, Toto,....",Hà Nội,Long Biên,Căn hộ chung cư tại Bình Minh Garden,"Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",30/04/2024,2 phòng,Đông - Nam,Tây - Bắc
35 m²,"2,85 tỷ","4,07 m","2,5 m",3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoài Đức,Nhà riêng tại đường La Phù,"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",30/04/2024,2 phòng,Đông - Bắc,Đông - Bắc
77 m²,"3,2 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,Full.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Florence Mỹ Đình,"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",06/05/2024,2 phòng,Đông - Bắc,Tây - Nam
92 m²,"4,1 tỷ",,,,2 phòng,,,Hà Nội,Hà Đông,Căn hộ chung cư tại Grand Sunlake,"Dự án Grand Sunlake, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",04/05/2024,2 phòng,,
96 m²,"12,1 tỷ",6 m,12 m,7 tầng,15 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoài Đức,Nhà riêng tại đường Quốc lộ 32,"Đường Quốc lộ 32, Xã Di Trạch, Hoài Đức, Hà Nội",06/05/2024,7 phòng,,
80 m²,"12,5 tỷ","10,5 m",3 m,6 tầng,15 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại phố Trần Cung,"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",02/05/2024,15 phòng,,
102 m²,6 tỷ,,,,3 phòng,,Full nội thất đẹp.,Hà Nội,Thanh Xuân,Căn hộ chung cư tại GoldSeason,"Dự án GoldSeason, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",29/04/2024,2 phòng,,Đông - Nam
52 m²,"3,1 tỷ",,,,2 phòng,Hợp đồng mua bán,"Đầy đủ Full nội thất gắn tường. Khóa từ, bếp từ, hút mùi, lò nướng: Thương hiệu hafele. Thiết bị vệ sinh, thiết bị chậu vòi rửa bếp: Thương hiệu kohler. Điều hòa 2 chiều: Thương hiệu Daikin hoặc Hitac",Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",11/04/2024,2 phòng,,Đông - Nam
70 m²,"3,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",02/05/2024,2 phòng,Đông - Bắc,Tây - Nam
"60,2 m²","3,3 tỷ",,,,2 phòng,,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Iris Garden,"Dự án Iris Garden, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",30/04/2024,2 phòng,,
"77,4 m²","4,1 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Florence Mỹ Đình,"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",30/04/2024,2 phòng,,
"124,5 m²",Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Chung cư Ban cơ yếu Chính phủ,"Dự án Chung cư Ban cơ yếu Chính phủ, Quận Thanh Xuân, Hà Nội",06/05/2024,2 phòng,,
"124,5 m²",Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Chung cư Ban cơ yếu Chính phủ,"Dự án Chung cư Ban cơ yếu Chính phủ, Quận Thanh Xuân, Hà Nội",06/05/2024,2 phòng,,
72 m²,"8,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội",06/05/2024,2 phòng,,
95 m²,25 triệu/m²,,,,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị mới Xa La,"Dự án KĐT Xa La, Đường Phan Trọng Tuệ, Phường Phúc La, Hà Đông, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Nam
115 m²,"7,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đẹp thiết kế sang trọng trẻ trung theo phong cách hiện đại (Ảnh MH).,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",04/05/2024,2 phòng,Tây - Bắc,Đông - Nam
72 m²,"4,9 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Rivera Park Hà Nội,"Dự án Rivera Park Hà Nội, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",04/05/2024,2 phòng,Đông,Nam
105 m²,"24,5 tỷ",6 m,5 m,5 tầng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại đường Trần Phú,"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",06/05/2024,6 phòng,,
83 m²,"4,59 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Khu đô thị Nam Trung Yên,"Dự án Nam Trung Yên, Đường Phạm Hùng, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,,
94 m²,"3,35 tỷ",,,,3 phòng,"+ Sổ hồng sẵn sàng sang tên, có thể hỗ trợ vay bank được.","Không nội thất - hiện trang nguyên bản chủ đầu tư, đang cho thuê.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Chung cư Bộ Tổng Tham Mưu,"Dự án 789 Bộ Tổng Tham Mưu - BQP, Đường Nhân Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",06/05/2024,2 phòng,,
40 m²,"5,5 tỷ",5 m,8 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Trì,Nhà riêng tại đường Cầu Bươu,"Đường Cầu Bươu, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",06/05/2024,4 phòng,Nam,Nam
66 m²,"3,12 tỷ",,,,2 phòng,,,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",26/04/2024,2 phòng,,
"64,48 m²","4,2 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại GoldSeason,"GoldSeason, 47, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",06/05/2024,1 phòng,Tây - Nam,Đông - Bắc
150 m²,13 tỷ,6 m,17 m,,,Sổ đỏ,,Hà Nội,Long Biên,Nhà riêng tại đường Cổ Linh,"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",03/05/2024,,Đông - Nam,
54 m²,"9,38 tỷ",4 m,3 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Hà Nội,Long Biên,Nhà riêng tại đường Bồ Đề,"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",06/05/2024,3 phòng,,
60 m²,"2,05 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất.,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",22/04/2024,1 phòng,,
62 m²,"18,3 tỷ",5 m,,5 tầng,,,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Nguyễn Thị Định,"Đường Nguyễn Thị Định, Phường Trung Hòa, Cầu Giấy, Hà Nội",24/04/2024,,,
"42,8 m²","2,15 tỷ",,,,1 phòng,,Full Nội thất.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",06/05/2024,1 phòng,,
33 m²,"1,85 tỷ",4 m,3 m,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Nhà riêng tại đường Quốc lộ 6,"Đường Quốc lộ 6, Phường Yên Nghĩa, Hà Đông, Hà Nội",03/05/2024,3 phòng,Tây - Nam,Tây - Nam
111 m²,"9,3 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Căn hộ chung cư tại D’. Le Roi Soleil,"D’. Le Roi Soleil , 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",20/04/2024,3 phòng,Tây - Bắc,Đông - Nam
42 m²,11 tỷ,12 m,8 m,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà mặt phố tại đường Mỗ Lao,"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,6 phòng,Tây - Bắc,Tây - Bắc
138 m²,"6,5 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Dự án Hà Nội Paragon, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",03/05/2024,2 phòng,Tây - Bắc,Đông - Nam
42 m²,11 tỷ,12 m,8 m,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà mặt phố tại đường Mỗ Lao,"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,6 phòng,Tây - Bắc,Tây - Bắc
