Quận,Loại nhà,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet,Loại Nhà (mã hóa),Quận (mã hóa),Khoảng giá,Mức giá (triệu/m²)
Thanh Xuân,Căn hộ chung cư,66.0,4.2,2,1,0,18,1,63.63636363636363
Cầu Giấy,Căn hộ chung cư,120.0,5.2,3,2,0,3,1,43.333333333333336
Bắc Từ Liêm,Nhà mặt phố,70.0,13.5,3,4,1,1,2,192.85714285714286
Cầu Giấy,Căn hộ chung cư,53.0,4.05,2,1,0,3,1,76.41509433962264
Bắc Từ Liêm,Nhà riêng,32.0,3.4,2,1,2,1,1,106.25
Hà Đông,Căn hộ chung cư,117.0,5.75,3,2,0,9,1,49.14529914529915
Nam Từ Liêm,Căn hộ chung cư,84.0,3.65,2,2,0,12,1,43.45238095238095
Hà Đông,Căn hộ chung cư,72.0,2.95,2,2,0,9,1,40.97222222222222
Hà Đông,Căn hộ chung cư,75.0,4.0,2,2,0,9,1,53.333333333333336
Gia Lâm,Căn hộ chung cư,46.0,1.74,1,1,0,4,0,37.82608695652174
Đống Đa,Nhà riêng,40.0,4.98,3,4,2,24,1,124.5
Cầu Giấy,Căn hộ chung cư,106.0,7.5,3,2,0,3,1,70.75471698113208
Cầu Giấy,Nhà riêng,70.0,29.0,12,12,2,3,2,414.2857142857143
Nam Từ Liêm,Căn hộ chung cư,76.0,3.5,2,2,0,12,1,46.05263157894737
Hà Đông,Nhà riêng,42.0,7.1,3,3,2,9,1,169.04761904761904
Hà Đông,Căn hộ chung cư,120.0,4.8,3,2,0,9,1,40.0
Thanh Xuân,Nhà riêng,58.0,12.48,4,3,2,18,2,215.17241379310346
Hà Đông,Căn hộ chung cư,88.0,4.15,3,2,0,9,1,47.15909090909091
Hai Bà Trưng,Căn hộ chung cư,107.0,6.65,3,2,0,5,1,62.149532710280376
Nam Từ Liêm,Căn hộ chung cư,67.0,3.9,2,2,0,12,1,58.208955223880594
Hà Đông,Nhà riêng,31.0,4.1,3,4,2,9,1,132.25806451612902
Nam Từ Liêm,Căn hộ chung cư,63.0,4.3,2,2,0,12,1,68.25396825396825
Bắc Từ Liêm,Căn hộ chung cư,70.0,3.5,2,2,0,1,1,50.0
Thanh Xuân,Căn hộ chung cư,50.0,1.3,1,1,0,18,0,26.0
Ba Đình,Nhà riêng,35.0,7.5,3,3,2,0,1,214.28571428571428
Đống Đa,Nhà mặt phố,680.0,200.0,8,10,1,24,3,294.11764705882354
Nam Từ Liêm,Căn hộ chung cư,30.0,2.05,1,1,0,12,1,68.33333333333333
Nam Từ Liêm,Căn hộ chung cư,90.0,4.35,2,2,0,12,1,48.333333333333336
Ba Đình,Căn hộ chung cư,55.0,3.14,2,2,0,0,1,57.09090909090909
Thanh Xuân,Căn hộ chung cư,50.0,1.3,1,1,0,18,0,26.0
Hà Đông,Căn hộ chung cư,99.0,4.5,3,2,0,9,1,45.45454545454545
Long Biên,Nhà riêng,40.0,13.8,4,5,2,10,2,345.0
Nam Từ Liêm,Căn hộ chung cư,120.0,5.5,3,2,0,12,1,45.833333333333336
Bắc Từ Liêm,Căn hộ chung cư,75.0,4.5,2,2,0,1,1,60.0
Hoàng Mai,Nhà riêng,33.0,4.3,3,4,2,8,1,130.3030303030303
Nam Từ Liêm,Căn hộ chung cư,164.0,7.0,4,3,0,12,1,42.68292682926829
Cầu Giấy,Căn hộ chung cư,89.0,5.05,3,2,0,3,1,56.741573033707866
Cầu Giấy,Nhà mặt phố,100.0,66.0,5,10,1,3,3,660.0
Đống Đa,Nhà mặt phố,161.0,48.0,4,4,1,24,2,298.1366459627329
Thanh Xuân,Căn hộ chung cư,181.0,15.0,3,3,0,18,2,82.87292817679558
Cầu Giấy,Căn hộ chung cư,142.0,11.8,3,2,0,3,2,83.09859154929578
Đống Đa,Nhà mặt phố,52.0,16.5,6,3,1,24,2,317.3076923076923
Cầu Giấy,Nhà riêng,30.0,5.31,3,4,2,3,1,177.0
Hà Đông,Căn hộ chung cư,53.0,1.93,1,1,0,9,0,36.41509433962264
Nam Từ Liêm,Nhà riêng,49.0,3.7,5,4,2,12,1,75.51020408163265
Long Biên,Nhà riêng,30.0,3.85,3,4,2,10,1,128.33333333333334
Hà Đông,Căn hộ chung cư,202.0,8.5,3,3,0,9,1,42.07920792079208
Thanh Xuân,Căn hộ chung cư,161.0,14.0,4,3,0,18,2,86.95652173913044
Hai Bà Trưng,Nhà riêng,25.0,3.5,2,3,2,5,1,140.0
Tây Hồ,Căn hộ chung cư,52.0,1.17,2,2,0,21,0,22.5
Hà Đông,Nhà riêng,51.0,6.3,4,3,2,9,1,123.52941176470588
Ba Đình,Nhà riêng,43.0,10.0,3,2,2,0,2,232.5581395348837
Bắc Từ Liêm,Căn hộ chung cư,35.0,0.68,1,1,0,1,0,19.428571428571427
Thanh Xuân,Căn hộ chung cư,124.0,7.4,3,2,0,18,1,59.67741935483871
Ba Đình,Căn hộ chung cư,80.0,3.15,2,2,0,0,1,39.375
Cầu Giấy,Căn hộ chung cư,103.0,5.63,3,2,0,3,1,54.66019417475728
Tây Hồ,Căn hộ chung cư,160.0,21.0,4,2,0,21,2,131.25
Nam Từ Liêm,Căn hộ chung cư,71.0,3.8,2,2,0,12,1,53.521126760563384
Đống Đa,Nhà riêng,65.0,15.8,4,7,2,24,2,243.07692307692307
Hoài Đức,Căn hộ chung cư,80.0,4.35,3,2,0,6,1,54.375
Long Biên,Nhà riêng,72.0,14.2,4,4,2,10,2,197.22222222222223
Thanh Xuân,Căn hộ chung cư,90.0,6.5,3,2,0,18,1,72.22222222222223
Thanh Xuân,Căn hộ chung cư,83.0,5.0,3,2,0,18,1,60.24096385542169
Long Biên,Nhà riêng,35.0,5.6,3,3,2,10,1,160.0
Bắc Từ Liêm,Căn hộ chung cư,66.0,3.55,2,2,0,1,1,53.78787878787879
Bắc Từ Liêm,Nhà riêng,97.0,9.8,3,3,2,1,1,101.03092783505154
Nam Từ Liêm,Căn hộ chung cư,74.0,4.6,3,2,0,12,1,62.16216216216216
Ba Đình,Nhà mặt phố,80.0,38.0,6,6,1,0,2,475.0
Tây Hồ,Căn hộ chung cư,128.0,9.0,3,2,0,21,1,70.3125
Long Biên,Nhà riêng,80.0,15.0,6,6,2,10,2,187.5
Nam Từ Liêm,Nhà riêng,95.0,22.9,28,28,2,12,2,241.05263157894737
Hà Đông,Căn hộ chung cư,69.0,2.9,2,2,0,9,1,42.028985507246375
Nam Từ Liêm,Căn hộ chung cư,97.0,5.1,3,2,0,12,1,52.577319587628864
Hai Bà Trưng,Căn hộ chung cư,115.0,2.4,3,2,0,5,1,20.869565217391305
Nam Từ Liêm,Căn hộ chung cư,111.0,5.3,3,2,0,12,1,47.747747747747745
Hoàng Mai,Nhà riêng,62.0,12.0,5,3,2,8,2,193.5483870967742
Thanh Xuân,Nhà riêng,45.0,9.6,3,3,2,18,1,213.33333333333334
Đống Đa,Nhà riêng,47.0,12.5,6,5,2,24,2,265.9574468085106
Thanh Xuân,Căn hộ chung cư,77.0,5.15,2,2,0,18,1,66.88311688311688
Nam Từ Liêm,Căn hộ chung cư,77.0,3.9,2,2,0,12,1,50.64935064935065
Thanh Xuân,Nhà mặt phố,61.0,17.0,4,4,1,18,2,278.6885245901639
Hai Bà Trưng,Nhà mặt phố,45.0,9.2,3,5,1,5,1,204.44444444444446
Ba Đình,Căn hộ chung cư,130.0,19.5,3,2,0,0,2,150.0
Hà Đông,Nhà mặt phố,35.0,4.65,4,5,1,9,1,132.85714285714286
Hà Đông,Căn hộ chung cư,74.0,3.84,2,2,0,9,1,51.891891891891895
Hà Đông,Căn hộ chung cư,77.0,2.86,2,2,0,9,1,37.142857142857146
Cầu Giấy,Căn hộ chung cư,130.0,6.8,3,2,0,3,1,52.30769230769231
Nam Từ Liêm,Căn hộ chung cư,150.0,7.6,3,2,0,12,1,50.666666666666664
Cầu Giấy,Nhà mặt phố,80.0,40.0,21,21,1,3,2,500.0
Cầu Giấy,Căn hộ chung cư,110.0,5.2,3,2,0,3,1,47.27272727272727
Nam Từ Liêm,Căn hộ chung cư,105.0,5.3,3,2,0,12,1,50.476190476190474
Đống Đa,Căn hộ chung cư,30.0,0.65,1,1,0,24,0,21.666666666666668
Cầu Giấy,Căn hộ chung cư,110.0,7.2,3,2,0,3,1,65.45454545454545
Hai Bà Trưng,Nhà riêng,52.0,11.8,6,4,2,5,2,226.92307692307693
Cầu Giấy,Căn hộ chung cư,85.0,5.7,2,2,0,3,1,67.05882352941177
Tây Hồ,Nhà riêng,65.0,9.0,4,5,2,21,1,138.46153846153845
Đống Đa,Nhà riêng,114.0,21.204,4,4,2,24,2,186.0
Nam Từ Liêm,Căn hộ chung cư,70.0,3.2,2,2,0,12,1,45.714285714285715
Nam Từ Liêm,Căn hộ chung cư,131.0,5.0,3,3,0,12,1,38.16793893129771
Cầu Giấy,Căn hộ chung cư,60.0,4.0,1,1,0,3,1,66.66666666666667
Hà Đông,Căn hộ chung cư,91.0,6.5,3,2,0,9,1,71.42857142857143
Cầu Giấy,Căn hộ chung cư,134.0,8.0,4,3,0,3,1,59.701492537313435
Long Biên,Nhà riêng,102.0,12.2,4,3,2,10,2,119.6078431372549
Đống Đa,Nhà riêng,39.0,6.3,3,3,2,24,1,161.53846153846155
Cầu Giấy,Căn hộ chung cư,98.0,5.5,3,2,0,3,1,56.12244897959184
Hà Đông,Nhà mặt phố,65.0,10.6,3,4,1,9,2,163.07692307692307
Nam Từ Liêm,Căn hộ chung cư,70.0,3.5,2,2,0,12,1,50.0
Hà Đông,Căn hộ chung cư,112.0,4.55,3,2,0,9,1,40.625
Nam Từ Liêm,Nhà riêng,45.0,4.5,5,3,2,12,1,100.0
Nam Từ Liêm,Căn hộ chung cư,98.0,4.85,3,2,0,12,1,49.48979591836735
Cầu Giấy,Căn hộ chung cư,79.0,5.2,2,2,0,3,1,65.82278481012658
Cầu Giấy,Nhà riêng,75.0,18.6,7,5,2,3,2,248.0
Ba Đình,Căn hộ chung cư,113.0,6.9,2,2,0,0,1,61.06194690265487
Cầu Giấy,Căn hộ chung cư,115.0,6.4,3,2,0,3,1,55.65217391304348
Nam Từ Liêm,Nhà riêng,120.0,37.0,22,22,2,12,2,308.3333333333333
Cầu Giấy,Nhà riêng,67.0,10.5,4,4,2,3,2,156.71641791044777
Thanh Xuân,Nhà riêng,57.0,13.8,11,11,2,18,2,242.10526315789474
Thanh Xuân,Nhà riêng,71.0,11.5,4,4,2,18,2,161.9718309859155
Nam Từ Liêm,Căn hộ chung cư,95.0,4.5,3,2,0,12,1,47.36842105263158
Thanh Xuân,Căn hộ chung cư,64.0,3.2,2,1,0,18,1,50.0
Bắc Từ Liêm,Căn hộ chung cư,100.0,4.95,3,2,0,1,1,49.5
Cầu Giấy,Căn hộ chung cư,120.0,7.5,3,2,0,3,1,62.5
Ba Đình,Nhà riêng,32.0,5.9,3,4,2,0,1,184.375
Nam Từ Liêm,Căn hộ chung cư,70.0,3.6,2,2,0,12,1,51.42857142857143
Hà Đông,Nhà riêng,33.0,3.6,4,4,2,9,1,109.0909090909091
Cầu Giấy,Căn hộ chung cư,127.0,7.0,3,2,0,3,1,55.118110236220474
Cầu Giấy,Căn hộ chung cư,77.0,4.2,2,2,0,3,1,54.54545454545455
Cầu Giấy,Căn hộ chung cư,192.0,10.5,4,3,0,3,2,54.6875
Long Biên,Căn hộ chung cư,170.0,10.5,3,4,0,10,2,61.76470588235294
Cầu Giấy,Căn hộ chung cư,104.0,5.72,3,2,0,3,1,55.0
Cầu Giấy,Căn hộ chung cư,151.0,8.2,4,3,0,3,1,54.3046357615894
Cầu Giấy,Căn hộ chung cư,76.0,4.4,2,2,0,3,1,57.89473684210526
Tây Hồ,Căn hộ chung cư,34.0,2.38,1,1,0,21,1,70.0
Hoàn Kiếm,Nhà mặt phố,42.0,9.4,4,4,1,7,1,223.8095238095238
Cầu Giấy,Nhà riêng,47.0,10.8,6,4,2,3,2,229.7872340425532
Hà Đông,Căn hộ chung cư,100.0,3.3,3,2,0,9,1,33.0
Thanh Xuân,Căn hộ chung cư,118.0,4.602,3,2,0,18,1,39.0
Cầu Giấy,Căn hộ chung cư,91.0,4.0,2,2,0,3,1,43.956043956043956
Thanh Trì,Nhà riêng,55.0,13.9,18,18,2,17,2,252.72727272727272
Hà Đông,Nhà riêng,36.0,5.95,4,4,2,9,1,165.27777777777777
Ba Đình,Nhà riêng,70.0,21.0,5,4,2,0,2,300.0
Nam Từ Liêm,Căn hộ chung cư,100.0,4.55,3,2,0,12,1,45.5
Tây Hồ,Nhà riêng,82.0,14.8,4,4,2,21,2,180.4878048780488
Thanh Xuân,Căn hộ chung cư,70.0,4.2,2,2,0,18,1,60.0
Hà Đông,Nhà riêng,50.0,10.8,4,4,2,9,2,216.0
Hà Đông,Nhà mặt phố,58.0,16.0,4,4,1,9,2,275.86206896551727
Hai Bà Trưng,Nhà riêng,60.0,11.9,17,17,2,5,2,198.33333333333334
Nam Từ Liêm,Nhà riêng,216.0,39.0,70,75,2,12,2,180.55555555555554
Hà Đông,Căn hộ chung cư,118.0,4.75,3,2,0,9,1,40.25423728813559
Thanh Xuân,Nhà mặt phố,73.0,37.0,8,8,1,18,2,506.8493150684931
Hà Đông,Căn hộ chung cư,136.0,4.8,4,3,0,9,1,35.294117647058826
Thanh Xuân,Căn hộ chung cư,90.0,4.0,3,2,0,18,1,44.44444444444444
Hà Đông,Nhà riêng,44.0,7.2,3,3,2,9,1,163.63636363636363
Nam Từ Liêm,Căn hộ chung cư,64.0,2.8,2,2,0,12,1,43.75
Bắc Từ Liêm,Nhà mặt phố,550.0,194.5,3,3,1,1,3,353.6363636363636
Bắc Từ Liêm,Nhà riêng,125.0,22.8,6,4,2,1,2,182.4
Hai Bà Trưng,Nhà riêng,83.0,11.5,8,8,2,5,2,138.55421686746988
Long Biên,Nhà riêng,40.0,6.5,4,3,2,10,1,162.5
Nam Từ Liêm,Căn hộ chung cư,110.0,3.99,3,2,0,12,1,36.27272727272727
Hoàng Mai,Căn hộ chung cư,64.0,2.9,2,2,0,8,1,45.3125
Thanh Xuân,Nhà riêng,112.0,23.5,4,4,2,18,2,209.82142857142858
Cầu Giấy,Căn hộ chung cư,138.0,7.0,3,2,0,3,1,50.72463768115942
Nam Từ Liêm,Nhà riêng,30.0,5.85,3,4,2,12,1,195.0
Nam Từ Liêm,Căn hộ chung cư,78.0,3.45,2,2,0,12,1,44.23076923076923
Đống Đa,Nhà riêng,90.0,25.0,5,5,2,24,2,277.77777777777777
Cầu Giấy,Căn hộ chung cư,140.0,7.28,3,2,0,3,1,52.0
Bắc Từ Liêm,Căn hộ chung cư,81.0,4.5,2,2,0,1,1,55.55555555555556
Nam Từ Liêm,Căn hộ chung cư,114.0,4.0,3,2,0,12,1,35.08771929824562
Long Biên,Căn hộ chung cư,77.0,3.9,2,2,0,10,1,50.64935064935065
Cầu Giấy,Nhà riêng,48.0,9.2,4,5,2,3,1,191.66666666666666
Đống Đa,Nhà riêng,53.0,12.6,6,4,2,24,2,237.73584905660377
Bắc Từ Liêm,Nhà riêng,35.0,4.55,3,4,2,1,1,130.0
Cầu Giấy,Căn hộ chung cư,100.0,4.5,3,2,0,3,1,45.0
Cầu Giấy,Nhà mặt phố,145.0,70.0,6,4,1,3,3,482.7586206896552
Cầu Giấy,Nhà mặt phố,105.0,36.0,8,5,1,3,2,342.85714285714283
Nam Từ Liêm,Nhà riêng,39.0,7.8,11,11,2,12,1,200.0
Cầu Giấy,Nhà riêng,62.0,19.5,10,6,2,3,2,314.51612903225805
Tây Hồ,Căn hộ chung cư,142.0,11.0,3,2,0,21,2,77.46478873239437
Cầu Giấy,Căn hộ chung cư,50.0,2.8,2,1,0,3,1,56.0
Đống Đa,Nhà mặt phố,250.0,120.0,8,8,1,24,3,480.0
Thanh Trì,Căn hộ chung cư,56.0,1.8,2,2,0,17,0,32.142857142857146
Cầu Giấy,Căn hộ chung cư,110.0,5.5,2,2,0,3,1,50.0
Tây Hồ,Nhà riêng,45.0,10.5,4,4,2,21,2,233.33333333333334
Cầu Giấy,Căn hộ chung cư,70.0,3.5,2,2,0,3,1,50.0
Đống Đa,Nhà riêng,33.0,4.7,4,3,2,24,1,142.42424242424244
Tây Hồ,Nhà riêng,36.0,8.0,1,1,2,21,1,222.22222222222223
Nam Từ Liêm,Căn hộ chung cư,43.0,2.2,1,1,0,12,1,51.16279069767442
Hà Đông,Căn hộ chung cư,90.0,4.5,3,2,0,9,1,50.0
Ba Đình,Căn hộ chung cư,75.0,4.65,3,2,0,0,1,62.0
Cầu Giấy,Nhà riêng,60.0,9.8,4,4,2,3,1,163.33333333333334
Cầu Giấy,Căn hộ chung cư,90.0,5.0,2,2,0,3,1,55.55555555555556
Hai Bà Trưng,Nhà riêng,35.0,7.65,3,4,2,5,1,218.57142857142858
Long Biên,Căn hộ chung cư,112.0,5.1,3,2,0,10,1,45.535714285714285
Nam Từ Liêm,Căn hộ chung cư,25.0,1.68,1,1,0,12,0,67.2
Hoàn Kiếm,Căn hộ chung cư,72.0,4.0,1,1,0,7,1,55.55555555555556
Cầu Giấy,Căn hộ chung cư,122.0,8.0,3,2,0,3,1,65.57377049180327
Cầu Giấy,Nhà riêng,103.0,17.3,26,26,2,3,2,167.96116504854368
Long Biên,Nhà riêng,51.0,9.15,5,4,2,10,1,179.41176470588235
Thanh Xuân,Căn hộ chung cư,60.0,3.45,3,2,0,18,1,57.5
Hoàn Kiếm,Nhà mặt phố,31.0,17.2,5,5,1,7,2,554.8387096774194
Thanh Xuân,Nhà riêng,44.0,7.2,6,4,2,18,1,163.63636363636363
Bắc Từ Liêm,Nhà riêng,59.0,9.19,3,3,2,1,1,155.76271186440678
Gia Lâm,Căn hộ chung cư,32.0,1.45,1,1,0,4,0,45.3125
Hoàng Mai,Căn hộ chung cư,90.0,2.7,3,2,0,8,1,30.0
Cầu Giấy,Căn hộ chung cư,100.0,5.5,3,2,0,3,1,55.0
Nam Từ Liêm,Căn hộ chung cư,94.0,6.0,3,2,0,12,1,63.829787234042556
Cầu Giấy,Nhà riêng,70.0,11.89,18,18,2,3,2,169.85714285714286
Hà Đông,Nhà mặt phố,130.0,33.0,6,6,1,9,2,253.84615384615384
Thanh Trì,Nhà riêng,81.0,14.99,24,24,2,17,2,185.06172839506172
Hà Đông,Căn hộ chung cư,90.0,5.1,3,2,0,9,1,56.666666666666664
Cầu Giấy,Nhà riêng,33.0,5.6,3,4,2,3,1,169.6969696969697
Nam Từ Liêm,Nhà riêng,40.0,6.85,4,5,2,12,1,171.25
Nam Từ Liêm,Căn hộ chung cư,116.0,4.9,3,2,0,12,1,42.241379310344826
Hà Đông,Căn hộ chung cư,135.0,5.4,3,2,0,9,1,40.0
Hoàng Mai,Nhà riêng,131.0,31.3,6,9,2,8,2,238.93129770992365
Hoàng Mai,Căn hộ chung cư,58.0,2.88,2,2,0,8,1,49.6551724137931
Nam Từ Liêm,Căn hộ chung cư,105.0,4.2,3,2,0,12,1,40.0
Hai Bà Trưng,Căn hộ chung cư,88.0,4.65,3,2,0,5,1,52.84090909090909
Hà Đông,Căn hộ chung cư,66.0,2.15,2,2,0,9,1,32.57575757575758
Hai Bà Trưng,Căn hộ chung cư,97.0,7.25,2,2,0,5,1,74.74226804123711
Hoàng Mai,Căn hộ chung cư,79.0,4.2,2,2,0,8,1,53.164556962025316
Cầu Giấy,Căn hộ chung cư,100.0,4.8,2,2,0,3,1,48.0
Hoàng Mai,Căn hộ chung cư,52.0,1.82,2,1,0,8,0,35.0
Cầu Giấy,Nhà riêng,200.0,60.0,46,46,2,3,3,300.0
Hoàn Kiếm,Nhà mặt phố,180.0,190.0,30,30,1,7,3,1055.5555555555557
Hoài Đức,Căn hộ chung cư,93.0,3.4,3,2,0,6,1,36.55913978494624
Nam Từ Liêm,Nhà riêng,38.0,5.85,4,4,2,12,1,153.94736842105263
Hà Đông,Căn hộ chung cư,116.0,3.95,3,2,0,9,1,34.05172413793103
Đống Đa,Nhà riêng,42.0,7.2,4,5,2,24,1,171.42857142857142
Nam Từ Liêm,Căn hộ chung cư,75.0,3.7,2,2,0,12,1,49.333333333333336
Đống Đa,Nhà riêng,43.0,12.8,6,3,2,24,2,297.6744186046512
Nam Từ Liêm,Nhà riêng,45.0,6.95,6,4,2,12,1,154.44444444444446
Thanh Xuân,Nhà riêng,46.0,9.6,5,4,2,18,1,208.69565217391303
Đống Đa,Nhà riêng,91.0,14.5,8,8,2,24,2,159.34065934065933
Hoàng Mai,Nhà riêng,50.0,8.5,4,4,2,8,1,170.0
Cầu Giấy,Căn hộ chung cư,107.0,6.85,2,2,0,3,1,64.01869158878505
Tây Hồ,Nhà mặt phố,400.0,48.5,3,3,1,21,2,121.25
Nam Từ Liêm,Căn hộ chung cư,83.0,3.55,3,2,0,12,1,42.7710843373494
Đống Đa,Nhà riêng,33.0,5.2,4,4,2,24,1,157.57575757575756
Tây Hồ,Nhà mặt phố,140.0,33.5,13,13,1,21,2,239.28571428571428
Cầu Giấy,Căn hộ chung cư,70.0,5.0,2,2,0,3,1,71.42857142857143
Nam Từ Liêm,Căn hộ chung cư,80.0,4.8,2,2,0,12,1,60.0
Cầu Giấy,Nhà riêng,55.0,12.8,2,2,2,3,2,232.72727272727272
Nam Từ Liêm,Nhà riêng,121.0,39.5,51,51,2,12,2,326.44628099173553
Đống Đa,Nhà riêng,24.0,3.65,3,4,2,24,1,152.08333333333334
Long Biên,Căn hộ chung cư,84.0,4.1,3,2,0,10,1,48.80952380952381
Hà Đông,Nhà riêng,30.0,2.7,3,3,2,9,1,90.0
Hoàng Mai,Căn hộ chung cư,60.0,2.65,2,2,0,8,1,44.166666666666664
Tây Hồ,Nhà riêng,65.0,17.9,4,4,2,21,2,275.38461538461536
Thanh Xuân,Căn hộ chung cư,52.0,1.3,2,2,0,18,0,25.0
Cầu Giấy,Nhà riêng,60.0,14.5,5,5,2,3,2,241.66666666666666
Cầu Giấy,Nhà riêng,61.0,10.75,4,4,2,3,2,176.2295081967213
Long Biên,Căn hộ chung cư,126.0,3.05,3,2,0,10,1,24.206349206349206
Hà Đông,Căn hộ chung cư,95.0,4.6,3,2,0,9,1,48.421052631578945
Nam Từ Liêm,Căn hộ chung cư,105.0,7.56,3,2,0,12,1,72.0
Đống Đa,Nhà riêng,100.0,34.0,7,7,2,24,2,340.0
Nam Từ Liêm,Nhà riêng,42.0,4.65,5,4,2,12,1,110.71428571428571
Bắc Từ Liêm,Nhà riêng,33.0,3.68,3,4,2,1,1,111.51515151515152
Nam Từ Liêm,Căn hộ chung cư,57.0,3.1,2,1,0,12,1,54.3859649122807
Tây Hồ,Nhà mặt phố,226.0,150.0,10,10,1,21,3,663.7168141592921
Gia Lâm,Căn hộ chung cư,48.0,2.3,2,1,0,4,1,47.916666666666664
Hai Bà Trưng,Căn hộ chung cư,50.0,2.0,2,1,0,5,0,40.0
Thanh Xuân,Căn hộ chung cư,90.0,5.34,3,2,0,18,1,59.333333333333336
Đống Đa,Căn hộ chung cư,50.0,1.88,2,1,0,24,0,37.6
Bắc Từ Liêm,Căn hộ chung cư,70.0,3.7,2,2,0,1,1,52.857142857142854
Hai Bà Trưng,Căn hộ chung cư,55.0,2.4,2,2,0,5,1,43.63636363636363
Hoàng Mai,Căn hộ chung cư,63.0,2.6,2,2,0,8,1,41.26984126984127
Cầu Giấy,Căn hộ chung cư,100.0,5.0,2,2,0,3,1,50.0
Nam Từ Liêm,Căn hộ chung cư,89.0,4.95,3,2,0,12,1,55.61797752808989
Hà Đông,Căn hộ chung cư,56.0,2.35,2,1,0,9,1,41.964285714285715
Cầu Giấy,Nhà riêng,40.0,6.0,6,4,2,3,1,150.0
Hà Đông,Nhà riêng,34.0,3.3,4,3,2,9,1,97.05882352941177
Hoàng Mai,Căn hộ chung cư,70.0,1.8,2,1,0,8,0,25.714285714285715
Nam Từ Liêm,Nhà riêng,35.0,3.85,3,4,2,12,1,110.0
Hoàng Mai,Căn hộ chung cư,69.0,2.65,2,2,0,8,1,38.405797101449274
Bắc Từ Liêm,Căn hộ chung cư,70.0,2.68,2,1,0,1,1,38.285714285714285
Thanh Xuân,Căn hộ chung cư,110.0,5.0,3,2,0,18,1,45.45454545454545
Hoàng Mai,Căn hộ chung cư,70.0,2.41,2,2,0,8,1,34.42857142857143
Hoàng Mai,Căn hộ chung cư,79.0,3.18,2,2,0,8,1,40.25316455696203
Hoàng Mai,Căn hộ chung cư,92.0,3.69,3,2,0,8,1,40.108695652173914
Bắc Từ Liêm,Căn hộ chung cư,56.0,2.38,2,2,0,1,1,42.5
Thanh Xuân,Nhà riêng,40.0,6.6,4,4,2,18,1,165.0
Hoàng Mai,Căn hộ chung cư,80.0,3.1,2,2,0,8,1,38.75
Cầu Giấy,Nhà riêng,97.0,15.5,14,14,2,3,2,159.79381443298968
Ba Đình,Nhà riêng,45.0,6.78,6,4,2,0,1,150.66666666666666
Cầu Giấy,Căn hộ chung cư,87.0,4.4,2,2,0,3,1,50.57471264367816
Cầu Giấy,Nhà riêng,75.0,26.0,5,5,2,3,2,346.6666666666667
Cầu Giấy,Căn hộ chung cư,105.0,6.0,3,2,0,3,1,57.142857142857146
Nam Từ Liêm,Căn hộ chung cư,110.0,7.0,3,2,0,12,1,63.63636363636363
Tây Hồ,Căn hộ chung cư,94.0,8.5,3,2,0,21,1,90.42553191489361
Cầu Giấy,Căn hộ chung cư,95.0,4.99,3,2,0,3,1,52.526315789473685
Cầu Giấy,Căn hộ chung cư,108.0,4.212,3,2,0,3,1,39.0
Nam Từ Liêm,Căn hộ chung cư,80.0,4.2,2,2,0,12,1,52.5
Hà Đông,Căn hộ chung cư,65.0,2.95,2,2,0,9,1,45.38461538461539
Hai Bà Trưng,Căn hộ chung cư,104.0,7.0,3,2,0,5,1,67.3076923076923
Nam Từ Liêm,Căn hộ chung cư,132.0,12.0,4,3,0,12,2,90.9090909090909
Nam Từ Liêm,Căn hộ chung cư,138.0,11.0,4,3,0,12,2,79.71014492753623
Hai Bà Trưng,Căn hộ chung cư,87.0,5.78,2,2,0,5,1,66.4367816091954
Long Biên,Nhà mặt phố,55.0,17.49,3,4,1,10,2,318.0
Tây Hồ,Nhà riêng,35.0,4.25,3,4,2,21,1,121.42857142857143
Hai Bà Trưng,Căn hộ chung cư,105.0,8.5,3,2,0,5,1,80.95238095238095
Hà Đông,Căn hộ chung cư,70.0,3.75,2,2,0,9,1,53.57142857142857
Hai Bà Trưng,Căn hộ chung cư,95.0,6.5,3,2,0,5,1,68.42105263157895
Hà Đông,Căn hộ chung cư,72.0,2.95,2,2,0,9,1,40.97222222222222
Long Biên,Căn hộ chung cư,140.0,6.0,4,4,0,10,1,42.857142857142854
Hai Bà Trưng,Nhà mặt phố,80.0,19.0,5,5,1,5,2,237.5
Hai Bà Trưng,Căn hộ chung cư,90.0,6.5,3,2,0,5,1,72.22222222222223
Hà Đông,Nhà mặt phố,90.0,42.5,3,4,1,9,2,472.22222222222223
Nam Từ Liêm,Nhà riêng,46.0,4.8,3,4,2,12,1,104.34782608695652
Ba Đình,Căn hộ chung cư,120.0,12.0,3,2,0,0,2,100.0
Hà Đông,Căn hộ chung cư,92.0,4.8,3,2,0,9,1,52.17391304347826
Hà Đông,Căn hộ chung cư,65.0,2.95,2,2,0,9,1,45.38461538461539
Hà Đông,Căn hộ chung cư,90.0,3.3,3,2,0,9,1,36.666666666666664
Hà Đông,Căn hộ chung cư,97.0,3.9,3,2,0,9,1,40.20618556701031
Tây Hồ,Nhà mặt phố,65.0,37.7,5,6,1,21,2,580.0
Nam Từ Liêm,Căn hộ chung cư,98.0,7.0,3,2,0,12,1,71.42857142857143
Bắc Từ Liêm,Nhà riêng,60.0,6.45,4,4,2,1,1,107.5
